FILE_PATH,ATTR,CMD,COMMENT,ENS,FILE,FILE_MODE,HARD_CODE,INCL,SLOC,REQ,SSH,URL,ICP_STATUS
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mesos-2018-06/manifests/master.pp,26,0,12,3,3,1,9,0,82,4,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mesos-2018-06/manifests/property.pp,8,0,2,1,1,0,1,0,34,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mesos-2018-06/manifests/service.pp,6,0,10,1,0,0,3,0,28,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/mesos-2018-06/manifests/slave.pp,46,0,37,5,5,1,11,0,167,5,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/nginx-2018-06/manifests/simple_tlsproxy.pp,6,0,8,2,0,0,3,2,28,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/nginx-2018-06/manifests/site.pp,9,0,27,2,2,0,4,1,50,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/nginx-2018-06/manifests/snippet.pp,6,0,30,1,1,1,3,1,46,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/nginx-2018-06/manifests/status_site.pp,2,0,12,1,0,0,2,0,21,0,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/nginx-2018-06/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/admin/manifests/group.pp,6,0,16,2,0,0,3,0,47,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/admin/manifests/hashuser.pp,8,0,7,1,0,0,0,0,36,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/alternatives/manifests/install.pp,5,1,28,0,0,0,3,0,34,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/alternatives/manifests/select.pp,3,1,22,0,0,0,1,0,28,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/apache/manifests/def.pp,5,0,22,2,0,0,2,1,35,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/apache/manifests/env.pp,7,0,28,1,0,0,4,1,45,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/apache/manifests/init.pp,36,2,11,4,2,2,20,4,91,5,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/apache/manifests/logrotate.pp,3,0,5,0,0,0,4,0,19,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/apache/manifests/mod.pp,5,0,70,1,0,0,3,0,189,2,0,44,NEUTRAL
